scheme,fe_degree,refinements,h,dt,dofs,final_l2_error,final_energy_ratio,wall_time
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.04,1089,0.00452838,1,0.263661
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.02,1089,0.000341052,1,0.539954
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.01,1089,0.000723577,1,1.18701
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.005,1089,0.000986787,1,2.3717
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.0025,1089,0.00105268,1,4.60363
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.04,4225,0.0055997,1,0.442677
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.02,4225,0.00140649,1,0.821924
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.01,4225,0.00035192,1,1.66493
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.005,4225,8.78889e-05,1,3.28114
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.0025,4225,2.18735e-05,1,6.57591
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.04,4225,0.00533166,1,0.493843
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.02,4225,0.00113845,1,0.969977
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.01,4225,8.54168e-05,1,2.18333
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.005,4225,0.000181107,1,4.01171
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.0025,4225,0.00024693,1,8.09495
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.04,16641,0.00559985,1,1.06776
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.02,16641,0.00140664,1,2.18066
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.01,16641,0.000352072,1,4.36854
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.005,16641,8.80366e-05,1,8.50918
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.0025,16641,2.20035e-05,1,16.8861
